timestamp,base_salary,annual_bonus,relocation_and_signing,equity_or_stock_per_year,total_comp,total_recurring_comp,job_title,seniority,years_exp,degree,approx_location,coarse_region,fine_region,gender,ethnicity,age_range,age
05/01/17 11:14 AM,120000,0,0,100000,220000,220000,Machine Learning Engineer,Junior/entry level,0,Doctorate,San Francisco,West Coast,San Francisco,Male,White,NULL,NULL
05/01/17 11:48 AM,160000,10000,10000,NULL,180000,170000,Data Scientist,Senior,2,Doctorate,New York,East Coast,New York,Male,NULL,NULL,NULL
05/01/17 12:06 PM,100000,0,0,0,100000,100000,Data Scientist,Middle,1,Doctorate,boston,Northeast,Boston,Male,White,NULL,NULL
05/01/17 06:18 PM,120000,0,0,2000,122000,122000,Data Scientist,Junior/entry level,1,Doctorate,New York City,East Coast,New York,Female,White,NULL,NULL
05/02/17 06:58 AM,145000,NULL,20000,NULL,165000,145000,Data Scientist,Middle,2,Doctorate,South Bay,West Coast,Bay Area,Male,NULL,20-29,29
05/02/17 11:43 AM,155000,NULL,47000,NULL,202000,155000,Data Scientist,Middle,2,Doctorate,SF,West Coast,San Francisco,Female,NULL,20-29,28
05/02/17 11:45 AM,155000,NULL,47000,NULL,202000,155000,Data Scientist,Middle,2,Doctorate,SF,West Coast,San Francisco,Female,NULL,20-29,28
05/02/17 01:02 PM,110000,0,5000,10000,125000,120000,Data Scientist,Junior/entry level,1,Doctorate,San Francisco,West Coast,San Francisco,Male,White,20-29,29
05/02/17 10:29 PM,120000,0,0,4000,124000,124000,Data Engineer,Junior/entry level,5,Bachelor's Degree,Bay Area,West Coast,Bay Area,Male,Asian,20-29,29
05/03/17 08:12 AM,130000,9000,15000,,154000,139000,Data Scientist,Middle,1,Doctorate,New York City,East Coast,New York,Male,White,30-39,30
05/03/17 09:01 AM,153000,11000,0,18000,182000,182000,Data Scientist,Senior,1,Doctorate,San Francisco,West Coast,San Francisco,Male,White,30-39,31
05/03/17 10:32 PM,175000,9000,NULL,NULL,184000,184000,Data Scientist,Senior,2,Doctorate,Bay Area,West Coast,Bay Area,Male,White,30-39,34
05/04/17 02:16 PM,140000,NULL,3000,NULL,143000,140000,Data Scientist,Senior,3,Doctorate,New York,East Coast,New York,Female,White,30-39,35
05/04/17 06:10 PM,110000,15000,8000,0,133000,125000,Data Scientist,Middle,1,Doctorate,East Coast,East Coast,NULL,Male,White,20-29,28
